"Story","Title","Result","Date","Stability","Duration (s)"
"Registration on Automation Site Demo","Verification of Submit button on login page","SUCCESS","2023-02-16T13:19:10.3559221+05:30[Asia/Calcutta]","0.0","7.91"
"Registration on Automation Site Demo","Verification of Submit button on login page","SUCCESS","2023-02-16T17:15:46.9777515+05:30[Asia/Calcutta]","0.0","20.21"
